date,elec_price_usd_per_kwh,cpi_index,gas_price_usd_per_mmbtu,elec_index_jan2020,gas_index_jan2020,gas_index_jan2020_12mo_avg,elec_change_6yr_pct,cpi_change_6yr_pct,elec_yoy_pct,gas_yoy_pct,cpi_yoy_pct,gas_yoy_lag6,model_predicted_elec_yoy_pct,residual_unexplained_pct,era
1978-11-01,0.046,67.5,,34.3284,,,,,,,,,,,Pre-2010
1978-12-01,0.046,67.9,,34.3284,,,,,,,,,,,Pre-2010
1979-01-01,0.046,68.5,,34.3284,,,,,,,,,,,Pre-2010
1979-02-01,0.047,69.2,,35.0746,,,,,,,,,,,Pre-2010
1979-03-01,0.047,69.9,,35.0746,,,,,,,,,,,Pre-2010
1979-04-01,0.048,70.6,,35.8209,,,,,,,,,,,Pre-2010
1979-05-01,0.049,71.4,,36.5672,,,,,,,,,,,Pre-2010
1979-06-01,0.052,72.2,,38.806,,,,,,,,,,,Pre-2010
1979-07-01,0.053,73.0,,39.5522,,,,,,,,,,,Pre-2010
1979-08-01,0.053,73.7,,39.5522,,,,,,,,,,,Pre-2010
1979-09-01,0.053,74.4,,39.5522,,,,,,,,,,,Pre-2010
1979-10-01,0.053,75.2,,39.5522,,,,,,,,,,,Pre-2010
1979-11-01,0.051,76.0,,38.0597,,,,,10.8696,,12.5926,,,,Pre-2010
1979-12-01,0.052,76.9,,38.806,,,,,13.0435,,13.2548,,,,Pre-2010
1980-01-01,0.053,78.0,,39.5522,,,,,15.2174,,13.8686,,,,Pre-2010
1980-02-01,0.055,79.0,,41.0448,,,,,17.0213,,14.1618,,,,Pre-2010
1980-03-01,0.056,80.1,,41.791,,,,,19.1489,,14.5923,,,,Pre-2010
1980-04-01,0.056,80.9,,41.791,,,,,16.6667,,14.5892,,,,Pre-2010
1980-05-01,0.058,81.7,,43.2836,,,,,18.3673,,14.4258,,,,Pre-2010
1980-06-01,0.063,82.5,,47.0149,,,,,21.1538,,14.2659,,,,Pre-2010
1980-07-01,0.064,82.6,,47.7612,,,,,20.7547,,13.1507,,,,Pre-2010
1980-08-01,0.064,83.2,,47.7612,,,,,20.7547,,12.8901,,,,Pre-2010
1980-09-01,0.065,83.9,,48.5075,,,,,22.6415,,12.7688,,,,Pre-2010
1980-10-01,0.063,84.7,,47.0149,,,,,18.8679,,12.633,,,,Pre-2010
1980-11-01,0.061,85.6,,45.5224,,,,,19.6078,,12.6316,,,,Pre-2010
1980-12-01,0.062,86.4,,46.2687,,,,,19.2308,,12.3537,,,,Pre-2010
1981-01-01,0.063,87.2,,47.0149,,,,,18.8679,,11.7949,,,,Pre-2010
1981-02-01,0.064,88.0,,47.7612,,,,,16.3636,,11.3924,,,,Pre-2010
1981-03-01,0.065,88.6,,48.5075,,,,,16.0714,,10.6117,,,,Pre-2010
1981-04-01,0.066,89.1,,49.2537,,,,,17.8571,,10.136,,,,Pre-2010
1981-05-01,0.067,89.7,,50.0,,,,,15.5172,,9.7919,,,,Pre-2010
1981-06-01,0.071,90.5,,52.9851,,,,,12.6984,,9.697,,,,Pre-2010
1981-07-01,0.073,91.5,,54.4776,,,,,14.0625,,10.7748,,,,Pre-2010
1981-08-01,0.075,92.2,,55.9701,,,,,17.1875,,10.8173,,,,Pre-2010
1981-09-01,0.074,93.1,,55.2239,,,,,13.8462,,10.9654,,,,Pre-2010
1981-10-01,0.072,93.4,,53.7313,,,,,14.2857,,10.2715,,,,Pre-2010
1981-11-01,0.071,93.8,,52.9851,,,,,16.3934,,9.5794,,,,Pre-2010
1981-12-01,0.071,94.1,,52.9851,,,,,14.5161,,8.912,,,,Pre-2010
1982-01-01,0.073,94.4,,54.4776,,,,,15.873,,8.2569,,,,Pre-2010
1982-02-01,0.073,94.7,,54.4776,,,,,14.0625,,7.6136,,,,Pre-2010
1982-03-01,0.075,94.7,,55.9701,,,,,15.3846,,6.8849,,,,Pre-2010
1982-04-01,0.075,95.0,,55.9701,,,,,13.6364,,6.6218,,,,Pre-2010
1982-05-01,0.075,95.9,,55.9701,,,,,11.9403,,6.9119,,,,Pre-2010
1982-06-01,0.079,97.0,,58.9552,,,,,11.2676,,7.1823,,,,Pre-2010
1982-07-01,0.079,97.5,,58.9552,,,,,8.2192,,6.5574,,,,Pre-2010
1982-08-01,0.079,97.7,,58.9552,,,,,5.3333,,5.9653,,,,Pre-2010
1982-09-01,0.079,97.7,,58.9552,,,,,6.7568,,4.9409,,,,Pre-2010
1982-10-01,0.077,98.1,,57.4627,,,,,6.9444,,5.0321,,,,Pre-2010
